filename,label,target
./small_imagenet/n01440764/ILSVRC2012_val_00026064.JPEG,0,362
./small_imagenet/n01440764/ILSVRC2012_val_00037596.JPEG,0,480
./small_imagenet/n01440764/ILSVRC2012_val_00040833.JPEG,0,15
./small_imagenet/n01440764/ILSVRC2012_val_00009396.JPEG,0,6
./small_imagenet/n01440764/ILSVRC2012_val_00023559.JPEG,0,741
./small_imagenet/n01440764/ILSVRC2012_val_00003014.JPEG,0,551
./small_imagenet/n01440764/ILSVRC2012_val_00006697.JPEG,0,180
./small_imagenet/n01440764/ILSVRC2012_val_00017699.JPEG,0,857
./small_imagenet/n01440764/ILSVRC2012_val_00045866.JPEG,0,967
./small_imagenet/n01440764/ILSVRC2012_val_00041939.JPEG,0,403
./small_imagenet/n01443537/ILSVRC2012_val_00009034.JPEG,1,699
./small_imagenet/n01443537/ILSVRC2012_val_00010363.JPEG,1,917
./small_imagenet/n01443537/ILSVRC2012_val_00006216.JPEG,1,507
./small_imagenet/n01443537/ILSVRC2012_val_00030217.JPEG,1,21
./small_imagenet/n01443537/ILSVRC2012_val_00000236.JPEG,1,18
./small_imagenet/n01443537/ILSVRC2012_val_00012880.JPEG,1,920
./small_imagenet/n01443537/ILSVRC2012_val_00020822.JPEG,1,327
./small_imagenet/n01443537/ILSVRC2012_val_00031138.JPEG,1,93
./small_imagenet/n01443537/ILSVRC2012_val_00034386.JPEG,1,634
./small_imagenet/n01443537/ILSVRC2012_val_00020436.JPEG,1,93
./small_imagenet/n01484850/ILSVRC2012_val_00036737.JPEG,2,571
./small_imagenet/n01484850/ILSVRC2012_val_00040710.JPEG,2,13
./small_imagenet/n01484850/ILSVRC2012_val_00027419.JPEG,2,252
./small_imagenet/n01484850/ILSVRC2012_val_00008848.JPEG,2,236
./small_imagenet/n01484850/ILSVRC2012_val_00032288.JPEG,2,7
./small_imagenet/n01484850/ILSVRC2012_val_00016168.JPEG,2,528
./small_imagenet/n01484850/ILSVRC2012_val_00031808.JPEG,2,238
./small_imagenet/n01484850/ILSVRC2012_val_00006491.JPEG,2,327
./small_imagenet/n01484850/ILSVRC2012_val_00023185.JPEG,2,305
./small_imagenet/n01484850/ILSVRC2012_val_00029481.JPEG,2,557
./small_imagenet/n01491361/ILSVRC2012_val_00002922.JPEG,3,289
./small_imagenet/n01491361/ILSVRC2012_val_00031568.JPEG,3,684
./small_imagenet/n01491361/ILSVRC2012_val_00037581.JPEG,3,422
./small_imagenet/n01491361/ILSVRC2012_val_00035405.JPEG,3,534
./small_imagenet/n01491361/ILSVRC2012_val_00031243.JPEG,3,783
./small_imagenet/n01491361/ILSVRC2012_val_00010074.JPEG,3,287
./small_imagenet/n01491361/ILSVRC2012_val_00029300.JPEG,3,528
./small_imagenet/n01491361/ILSVRC2012_val_00030156.JPEG,3,53
./small_imagenet/n01491361/ILSVRC2012_val_00024895.JPEG,3,463
./small_imagenet/n01491361/ILSVRC2012_val_00003204.JPEG,3,819
./small_imagenet/n01494475/ILSVRC2012_val_00026490.JPEG,4,958
./small_imagenet/n01494475/ILSVRC2012_val_00045133.JPEG,4,412
./small_imagenet/n01494475/ILSVRC2012_val_00049166.JPEG,4,980
./small_imagenet/n01494475/ILSVRC2012_val_00022552.JPEG,4,146
./small_imagenet/n01494475/ILSVRC2012_val_00039588.JPEG,4,349
./small_imagenet/n01494475/ILSVRC2012_val_00023074.JPEG,4,861
./small_imagenet/n01494475/ILSVRC2012_val_00029886.JPEG,4,516
./small_imagenet/n01494475/ILSVRC2012_val_00035367.JPEG,4,351
./small_imagenet/n01494475/ILSVRC2012_val_00020418.JPEG,4,595
./small_imagenet/n01494475/ILSVRC2012_val_00044788.JPEG,4,445
./small_imagenet/n01496331/ILSVRC2012_val_00017196.JPEG,5,176
./small_imagenet/n01496331/ILSVRC2012_val_00045502.JPEG,5,322
./small_imagenet/n01496331/ILSVRC2012_val_00042245.JPEG,5,592
./small_imagenet/n01496331/ILSVRC2012_val_00015555.JPEG,5,816
./small_imagenet/n01496331/ILSVRC2012_val_00004698.JPEG,5,652
./small_imagenet/n01496331/ILSVRC2012_val_00009237.JPEG,5,106
